ordenID,productoID,UnitPrice,Quantity,NombreProducto,categoriaID,clienteID,fecha,NombreCategoria,TotalVenta,Mes
10248,11,14.0,12,Queso Cabrales,4,VINET,1996-07-04,Dairy Products,168.0,1996-07
10248,42,9.8,10,Singaporean Hokkien Fried Mee,5,VINET,1996-07-04,Grains/Cereals,98.0,1996-07
10248,72,34.8,5,Mozzarella di Giovanni,4,VINET,1996-07-04,Dairy Products,174.0,1996-07
10249,14,18.6,9,Tofu,7,TOMSP,1996-07-05,Produce,167.4,1996-07
10249,51,42.4,40,Manjimup Dried Apples,7,TOMSP,1996-07-05,Produce,1696.0,1996-07
10250,41,7.7,10,Jack's New England Clam Chowder,8,HANAR,1996-07-08,Seafood,77.0,1996-07
10250,51,42.4,35,Manjimup Dried Apples,7,HANAR,1996-07-08,Produce,1484.0,1996-07
10250,65,16.8,15,Louisiana Fiery Hot Pepper Sauce,2,HANAR,1996-07-08,Condiments,252.0,1996-07
10251,22,16.8,6,Gustaf's Knäckebröd,5,VICTE,1996-07-08,Grains/Cereals,100.80000000000001,1996-07
10251,57,15.6,15,Ravioli Angelo,5,VICTE,1996-07-08,Grains/Cereals,234.0,1996-07
10251,65,16.8,20,Louisiana Fiery Hot Pepper Sauce,2,VICTE,1996-07-08,Condiments,336.0,1996-07
10252,20,64.8,40,Sir Rodney's Marmalade,3,SUPRD,1996-07-09,Confections,2592.0,1996-07
10252,33,2.0,25,Geitost,4,SUPRD,1996-07-09,Dairy Products,50.0,1996-07
10252,60,27.2,40,Camembert Pierrot,4,SUPRD,1996-07-09,Dairy Products,1088.0,1996-07
10253,31,10.0,20,Gorgonzola Telino,4,HANAR,1996-07-10,Dairy Products,200.0,1996-07
10253,39,14.4,42,Chartreuse verte,1,HANAR,1996-07-10,Beverages,604.8000000000001,1996-07
10253,49,16.0,40,Maxilaku,3,HANAR,1996-07-10,Confections,640.0,1996-07
10254,24,3.6,15,Guaraná Fantástica,1,CHOPS,1996-07-11,Beverages,54.0,1996-07
10254,55,19.2,21,Pâté chinois,6,CHOPS,1996-07-11,Meat/Poultry,403.2,1996-07
10254,74,8.0,21,Longlife Tofu,7,CHOPS,1996-07-11,Produce,168.0,1996-07
10255,2,15.2,20,Chang,1,RICSU,1996-07-12,Beverages,304.0,1996-07
10255,16,13.9,35,Pavlova,3,RICSU,1996-07-12,Confections,486.5,1996-07
10255,36,15.2,25,Inlagd Sill,8,RICSU,1996-07-12,Seafood,380.0,1996-07
10255,59,44.0,30,Raclette Courdavault,4,RICSU,1996-07-12,Dairy Products,1320.0,1996-07
10256,53,26.2,15,Perth Pasties,6,WELLI,1996-07-15,Meat/Poultry,393.0,1996-07
10256,77,10.4,12,Original Frankfurter grüne Soße,2,WELLI,1996-07-15,Condiments,124.80000000000001,1996-07
10257,27,35.1,25,Schoggi Schokolade,3,HILAA,1996-07-16,Confections,877.5,1996-07
10257,39,14.4,6,Chartreuse verte,1,HILAA,1996-07-16,Beverages,86.4,1996-07
10257,77,10.4,15,Original Frankfurter grüne Soße,2,HILAA,1996-07-16,Condiments,156.0,1996-07
10258,2,15.2,50,Chang,1,ERNSH,1996-07-17,Beverages,760.0,1996-07
10258,5,17.0,65,Chef Anton's Gumbo Mix,2,ERNSH,1996-07-17,Condiments,1105.0,1996-07
